loss,accuracy,val_loss,val_accuracy
1.298675537109375,0.4375,1.3089900016784668,0.17147435247898102
1.2560088634490967,0.4563301205635071,1.1456446647644043,0.41025641560554504
1.2389808893203735,0.4735576808452606,1.349413514137268,0.19711539149284363
1.2231225967407227,0.4787660241127014,1.3532332181930542,0.2756410241127014
1.2127196788787842,0.4811698794364929,1.2740402221679688,0.3253205120563507
1.2028977870941162,0.49078527092933655,1.3600612878799438,0.3253205120563507
1.1904892921447754,0.49118590354919434,1.2835471630096436,0.33493590354919434
1.1833069324493408,0.4947916567325592,1.394183874130249,0.2836538553237915
1.1820056438446045,0.49599358439445496,1.2161556482315063,0.3621794879436493
1.1765215396881104,0.4967948794364929,1.0711034536361694,0.4791666567325592
1.1663378477096558,0.5032051205635071,1.142111897468567,0.43589743971824646
1.162559151649475,0.5052083134651184,1.1591519117355347,0.4006410241127014
1.1578415632247925,0.5056089758872986,1.013106346130371,0.5208333134651184
1.1541393995285034,0.5092147588729858,1.0510499477386475,0.4711538553237915
1.1505478620529175,0.5092147588729858,0.9226922392845154,0.5528846383094788
1.1488579511642456,0.5148237347602844,0.9918289184570312,0.5320512652397156
1.1439656019210815,0.5100160241127014,1.0260052680969238,0.4791666567325592
1.1376986503601074,0.5132211446762085,1.1258078813552856,0.4086538553237915
1.1393258571624756,0.5120192170143127,1.052785873413086,0.4871794879436493
1.1324905157089233,0.5168269276618958,1.0443251132965088,0.4423076808452606
