loss,accuracy,val_loss,val_accuracy
0.9156640768051147,0.661057710647583,0.3526105284690857,0.8157051205635071
0.6122798919677734,0.7584134340286255,0.22639648616313934,0.8717948794364929
0.5249285101890564,0.7948718070983887,0.3941968083381653,0.8253205418586731
0.45881223678588867,0.8181089758872986,0.508126974105835,0.7852563858032227
0.4412916600704193,0.8269230723381042,0.09128918498754501,0.9663461446762085
0.36446383595466614,0.8565705418586731,0.10005627572536469,0.9663461446762085
0.3430449068546295,0.8693910241127014,0.24244293570518494,0.8733974099159241
0.2958272397518158,0.8914262652397156,0.08294355869293213,0.9711538553237915
0.316658079624176,0.8870192170143127,0.18238197267055511,0.9038461446762085
0.29075777530670166,0.8966346383094788,0.31533166766166687,0.8637820482254028
0.2505579888820648,0.9134615659713745,0.11019770056009293,0.9647436141967773
0.26696541905403137,0.9038461446762085,0.08035260438919067,0.9743589758872986
0.22759442031383514,0.9198718070983887,0.08506683260202408,0.9711538553237915
0.1954844743013382,0.9403044581413269,0.0652088150382042,0.9775640964508057
0.19547347724437714,0.9298878312110901,0.07437072694301605,0.9791666865348816
0.18062567710876465,0.9443109035491943,0.0704861581325531,0.9807692170143127
0.1665000468492508,0.9479166865348816,0.09042511880397797,0.9727563858032227
0.17740675806999207,0.9499198794364929,0.06614977866411209,0.9807692170143127
0.15882237255573273,0.9535256624221802,0.12194911390542984,0.9695512652397156
0.14664201438426971,0.9591346383094788,0.031839363276958466,0.9887820482254028
